x_norm, y_norm, dis_pks, x_mm, y_mm, dis_mm 
-128, -144, 192.66551326067673, -17, 20, 26.248809496813376
-162, -144, 216.74870241826133, -22, 20, 29.732137494637012
-192, -142, 238.8053600738476, -27, 20, 33.60059523282288
-226, -140, 265.84958153060916, -32, 20, 37.73592452822641
-263, -140, 297.9412693803932, -37, 20, 42.05948168962618
-293, -139, 324.29924452579286, -42, 20, 46.51881339845203
-324, -139, 352.5577966802039, -47, 20, 51.07837115648854
-352, -139, 378.4507894033252, -52, 20, 55.71355310873648
-382, -139, 406.5033825197522, -57, 20, 60.40695324215582
-412, -137, 434.18083790052276, -62, 20, 65.14598989960932
-442, -135, 462.1568997645713, -67, 20, 69.92138442565336
-474, -131, 491.7692548340126, -72, 20, 74.72616676907762
-500, -129, 516.3729272531626, -77, 20, 79.55501241279521
-524, -128, 539.4070818964096, -82, 20, 84.40379138403677
-547, -125, 561.1007039738945, -87, 20, 89.26925562588724
-571, -124, 584.3089935984214, -92, 20, 94.14881836751856
-591, -121, 603.2594798260529, -97, 20, 99.04039579888602
-610, -118, 621.3082970635431, -102, 20, 103.94229168149026
-629, -117, 639.7890277271094, -107, 20, 108.85311203635843
-647, -114, 656.9665136062872, -112, 20, 113.77170122662314
-665, -112, 674.365627831075, -117, 20, 118.69709347747316
-680, -110, 688.8396039717809, -122, 20, 123.62847568420473
-696, -108, 704.329468359801, -127, 20, 128.56515857727553
-711, -107, 719.0062586653888, -132, 20, 133.5065541462291
-725, -104, 732.4213268331282, -137, 20, 138.45215780189199
-739, -103, 746.1434178494105, -142, 20, 143.4015341619468
-752, -101, 758.7522652354983, -147, 20, 148.35430563350698
-763, -99, 769.3958668981787, -152, 20, 153.3101431738944
-775, -98, 781.1715560617911, -157, 20, 158.26875876179733
-786, -97, 791.9627516493437, -162, 20, 163.22989922192565
-796, -95, 801.64892565262, -167, 20, 168.19334112859522
-806, -93, 811.3476443547488, -172, 20, 173.1588865753069
-815, -91, 820.0646315992417, -177, 20, 178.12635964393365
-825, -89, 829.7867195852197, -182, 20, 183.09560344257315
-831, -88, 835.6464563438296, -187, 20, 188.06647760831805
-838, -87, 842.5040059251944, -192, 20, 193.03885619221847
-844, -86, 848.3702022112752, -197, 20, 198.01262586006985
-850, -85, 854.2394277952757, -202, 20, 202.98768435548004
-856, -83, 860.0145347608958, -207, 20, 207.96393918177256
-862, -82, 865.8914481619506, -212, 20, 212.94130646729863
-867, -80, 870.6830651850305, -217, 20, 217.91970998512272
0, -180, 180.0, 0, 25, 25.0
-17, -180, 180.8009955724802, -2, 25, 25.079872407968907
-54, -181, 188.88356201639147, -7, 25, 25.96150997149434
-90, -180, 201.24611797498108, -12, 25, 27.730849247724095
-128, -180, 220.87100307645636, -17, 25, 30.23243291566195
-160, -180, 240.8318915758459, -22, 25, 33.301651610693426
-191, -178, 261.0842775810141, -27, 25, 36.796738985948195
-226, -177, 287.06271091871196, -32, 25, 40.607881008493905
-260, -175, 313.40867888429636, -37, 25, 44.654227123532216
-293, -174, 340.77118422777477, -42, 25, 48.877397639399746
-322, -174, 366.0054644400818, -47, 25, 53.23532661682466
-351, -172, 390.8772185738125, -52, 25, 57.697486947006624
-383, -173, 420.2594436773551, -57, 25, 62.24146527838174
-411, -170, 444.77072745404456, -62, 25, 66.85057965343307
-440, -167, 470.62617861738204, -67, 25, 71.5122367151245
-472, -163, 499.3525808484422, -72, 25, 76.21679604916491
-498, -161, 523.3784481615573, -77, 25, 80.95677859203639
-523, -159, 546.6351616937937, -82, 25, 85.72630868059116
-546, -156, 567.8485713638804, -87, 25, 90.52071586106685
-568, -154, 588.5065845001227, -92, 25, 95.33624704172071
-590, -150, 608.7692502089769, -97, 25, 100.16985574512923
-610, -148, 627.6973793158611, -102, 25, 105.01904589168576
-628, -145, 644.5223037257904, -107, 25, 109.88175462741756
-646, -143, 661.6381186116773, -112, 25, 114.75626344561765
-663, -141, 677.8274116617002, -117, 25, 119.64113005150027
-678, -138, 691.901727126042, -122, 25, 124.53513560437472
-694, -136, 707.2001131221629, -127, 25, 129.43724348115578
-708, -133, 720.3839254175513, -132, 25, 134.34656675925888
-723, -131, 734.7720735030694, -137, 25, 139.26234236145822
-738, -128, 749.0180238151817, -142, 25, 144.183910336764
-750, -127, 760.6766724436868, -147, 25, 149.11069713471264
-763, -125, 773.1713910899704, -152, 25, 154.042202009709
-774, -122, 783.5559967226337, -157, 25, 158.97798589741913
-785, -119, 793.9685132295865, -162, 25, 163.9176622576103
-795, -117, 803.5633142447457, -167, 25, 168.86088949191284
-805, -116, 813.3148221937186, -172, 25, 173.80736463107655
-814, -114, 821.9440370244193, -177, 25, 178.7568180517879
-823, -111, 830.451684326066, -182, 25, 183.7090090333079
-831, -109, 838.1181300986157, -187, 25, 188.66372200293304
-838, -107, 844.8035274547568, -192, 25, 193.62076334938874
-845, -106, 851.6225689822928, -197, 25, 198.57995870681412
-850, -105, 856.4607404896035, -202, 25, 203.54115063052976
-856, -104, 862.2946132268252, -207, 25, 208.50419660045213
-862, -103, 868.1319024203638, -212, 25, 213.4689672996991
-867, -102, 872.9793811998081, -217, 25, 218.43534512527958
1, -217, 217.00230413523263, 0, 30, 30.0
-16, -217, 217.5890622251036, -2, 30, 30.066592756745816
-51, -216, 221.93918085818015, -7, 30, 30.805843601498726
-88, -216, 233.23807579381202, -12, 30, 32.31098884280702
-126, -215, 249.20072231034965, -17, 30, 34.48187929913333
-158, -214, 266.00751869073173, -22, 30, 37.20215047547655
-190, -214, 286.174771774173, -27, 30, 40.36087214122113
-225, -214, 310.517310306527, -32, 30, 43.86342439892262
-257, -214, 334.43235489408016, -37, 30, 47.634021455258214
-289, -213, 359.01253460011674, -42, 30, 51.61395160225576
-320, -211, 383.3027524033711, -47, 30, 55.758407437802596
-350, -209, 407.65303874741323, -52, 30, 60.03332407921454
-382, -205, 433.5308524199864, -57, 30, 64.41273166075166
-411, -203, 458.3993891793487, -62, 30, 68.87670143089025
-439, -200, 482.4116499422459, -67, 30, 73.40980860893181
-468, -195, 507.0, -72, 30, 78.0
-496, -192, 531.8646444350292, -77, 30, 82.63776376451628
-521, -190, 554.5637925432925, -82, 30, 87.31551981177229
-544, -187, 575.2434267334135, -87, 30, 92.02716990106781
-566, -184, 595.157122111464, -92, 30, 96.76776322722355
-587, -180, 613.9780126356318, -97, 30, 101.53324578678651
-607, -177, 632.2800012652622, -102, 30, 106.3202708800161
-626, -174, 649.732252547155, -107, 30, 111.12605455067681
-644, -171, 666.3159911033202, -112, 30, 115.94826432508596
-661, -169, 682.2624128588648, -117, 30, 120.78493283518438
-677, -165, 696.8170491599642, -122, 30, 125.63439019631528
-693, -163, 711.9115113551684, -127, 30, 130.49521064008442
-708, -160, 725.8539798058559, -132, 30, 135.36617007214173
-722, -157, 738.8727901337279, -137, 30, 140.24621207005913
-736, -155, 752.1442680762781, -142, 30, 145.13442045221387
-750, -151, 765.0496715900217, -147, 30, 150.02999700059985
-761, -148, 775.2580215644338, -152, 30, 154.9322432549145
-773, -145, 786.4820404815357, -157, 30, 159.84054554461454
-785, -143, 797.9185422084137, -162, 30, 164.75436261295178
-793, -140, 805.2633109734977, -167, 30, 169.6732153287607
-801, -138, 812.800713582364, -172, 30, 174.59667808981933
-813, -136, 824.2966698950081, -177, 30, 179.52437160452615
-823, -132, 833.5184461066234, -182, 30, 184.45595680270128
-828, -130, 838.1431858578819, -187, 30, 189.39112967612817
-835, -128, 844.7538102903118, -192, 30, 194.32961688841976
-844, -127, 853.5016110119535, -197, 30, 199.27117202445515
-851, -125, 860.1313853127323, -202, 30, 204.215572373901
-856, -123, 864.7918824780908, -207, 30, 209.16261616264032
-860, -121, 868.4704946053147, -212, 30, 214.11212016137713
-867, -119, 875.128561983895, -217, 30, 219.06391761310215
1, -251, 251.0019920239678, 0, 35, 35.0
-17, -251, 251.57503850740042, -2, 35, 35.05709628591621
-51, -251, 256.1288738116029, -7, 35, 35.6931365951495
-86, -252, 266.27053911388697, -12, 35, 37.0
-125, -254, 283.09185788362055, -17, 35, 38.91015291668744
-157, -252, 296.90570893803977, -22, 35, 41.340053217188775
-188, -252, 314.40101781005734, -27, 35, 44.204072210600685
-223, -250, 335.00597009605667, -32, 35, 47.4236228055175
-257, -250, 358.53730628764424, -37, 35, 50.93132631298737
-288, -247, 379.41138622872137, -42, 35, 54.67174773134658
-319, -244, 401.6179776852625, -47, 35, 58.60034129593445
-351, -242, 426.33906694085636, -52, 35, 62.68173577685928
-384, -239, 452.30189033432083, -57, 35, 66.88796603276258
-411, -237, 474.43650787012587, -62, 35, 71.19691004531025
-440, -233, 497.8845247645281, -67, 35, 75.59100475585703
-469, -227, 521.0470228299937, -72, 35, 80.05623023850174
-495, -223, 542.9125159728775, -77, 35, 84.581321815162
-519, -220, 563.7029359511976, -82, 35, 89.15716460273958
-542, -216, 583.4552253600956, -87, 35, 93.77632963600144
-564, -213, 602.8805851907988, -92, 35, 98.43271813782245
-585, -209, 621.2133288975696, -97, 35, 103.12128781197411
-605, -205, 638.7879147260066, -102, 35, 107.83784122468327
-624, -202, 655.8810867832674, -107, 35, 112.57886124845996
-641, -199, 671.1795586875393, -112, 35, 117.34138229968147
-659, -195, 687.245225519974, -117, 35, 122.12288892750614
-675, -192, 701.77560516165, -122, 35, 126.92123541787639
-692, -187, 716.8214561520881, -127, 35, 131.73458164050928
-706, -185, 729.836283011471, -132, 35, 136.56134152826706
-721, -182, 743.6161644289344, -137, 35, 141.40014144264495
-734, -180, 755.7486354602303, -142, 35, 146.24978632463024
-748, -176, 768.4269646492112, -147, 35, 151.10923201446033
-760, -171, 779.0, -152, 35, 155.97756248896826
-771, -169, 789.3047573656198, -157, 35, 160.85397104206038
-783, -166, 800.4030234825453, -162, 35, 165.73774464496614
-793, -163, 809.5789028871739, -167, 35, 170.6282508847817
-802, -161, 818.0006112467154, -172, 35, 175.524927004685
-812, -159, 827.4206910635, -177, 35, 180.42727066604982
-822, -156, 836.6719787347967, -182, 35, 185.33483212823216
-830, -153, 843.9840045877647, -187, 35, 190.24720760105785
-836, -151, 849.5275157403673, -192, 35, 195.1640335717624
-843, -148, 855.8931008017298, -197, 35, 200.08498194517247
-849, -146, 861.4621291734187, -202, 35, 205.00975586542216
-855, -144, 867.0415214970965, -207, 35, 209.9380861111199
-860, -144, 871.9724766298533, -212, 35, 214.8697279748825
-866, -140, 877.2434097786087, -217, 35, 219.80445855350615
1, -286, 286.00174824640493, 0, 40, 40.0
-17, -285, 285.50656735003486, -2, 40, 40.049968789001575
-51, -285, 289.5272007946749, -7, 40, 40.607881008493905
-86, -285, 297.6927946726289, -12, 40, 41.7612260356422
-124, -287, 312.64196775225173, -17, 40, 43.46262762420146
-154, -284, 323.066556610244, -22, 40, 45.65084884205331
-187, -284, 340.03676271838606, -27, 40, 48.25971404805462
-220, -283, 358.4536232206337, -32, 40, 51.22499389946279
-254, -281, 378.7835793695392, -37, 40, 54.48853090330111
-286, -281, 400.94513340356184, -42, 40, 58.0
-317, -279, 422.2913686070318, -47, 40, 61.71709649683789
-351, -274, 445.2830560441302, -52, 40, 65.60487786742691
-383, -273, 470.33817620941636, -57, 40, 69.63476143421474
-409, -268, 488.9836398081228, -62, 40, 73.78346698278686
-439, -265, 512.7826050091793, -67, 40, 78.03204469959762
-468, -257, 533.9222789882438, -72, 40, 82.365041127896
-493, -253, 554.1281440244666, -77, 40, 86.76981041814025
-517, -250, 574.2725833608984, -82, 40, 91.23595782365635
-539, -246, 592.4837550515625, -87, 40, 95.75489543621255
-562, -242, 611.8888788007182, -92, 40, 100.31948963187563
-582, -238, 628.782951422826, -97, 40, 104.92378186092989
-602, -234, 645.8792456798717, -102, 40, 109.5627673984187
-620, -230, 661.2866246946176, -107, 40, 114.23221962301179
-638, -226, 676.8456249396903, -112, 40, 118.92854997854805
-657, -222, 693.4933308979979, -117, 40, 123.64869590901475
-672, -218, 706.4757603768157, -122, 40, 128.39003076563228
-690, -215, 722.7205545714056, -127, 40, 133.15029102484155
-704, -211, 734.9401336163374, -132, 40, 137.92751719653333
-720, -208, 749.4424594323436, -137, 40, 142.72000560538106
-733, -204, 760.8580682361198, -142, 40, 147.52626884728022
-745, -199, 771.1199647266305, -147, 40, 152.34500319997372
-758, -195, 782.6806500738344, -152, 40, 157.175061635108
-768, -193, 791.8794100113981, -157, 40, 162.0154313638056
-780, -189, 802.5714921426004, -162, 40, 166.86521506892922
-791, -186, 812.5743042946904, -167, 40, 171.72361514946044
-801, -184, 821.8619105421543, -172, 40, 176.58992043715293
